date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2025-02-07,600519,1386.08,1408.4,1415.08,1375.81,37242,5310850624.0,2.83,1.67,23.16,0.3,-0.03560668,,,28639.3,1.30038095,0.19353033,0,,26.97428571,0.01915243,,-0.21976993,-0.29286429,1397.126,1412.933,1418.258,1469.06366667,-19.98097905,-18.85718089,-1.12379815,,1418.258,1456.65702718,1379.85897282,33214.2,1.12126741,-0.0049456,0.01497799,0.01671912,0.22931274,0.19353033
2025-02-10,600519,1410.4,1403.91,1412.4,1399.49,20840,2988101756.0,0.92,-0.32,-4.49,0.17,-0.03004698,-0.12127111,,28049.9,0.74296165,0.19178096,0,,26.29428571,0.01872932,,-0.2925982,-0.15210588,1396.228,1410.609,1416.0835,1465.8345,-19.12604106,-18.91095293,-0.21508813,,1416.0835,1452.40326424,1379.76373576,31110.2,0.66987676,-0.00318801,0.00175758,-0.00318801,0.22769654,0.19178096
2025-02-11,600519,1407.35,1390.4,1408.36,1388.3,23573,3348668867.0,1.43,-0.96,-13.51,0.19,-0.01557632,-0.1078544,,27015.8,0.87256346,0.17513973,0,,25.10714286,0.0180575,,-0.11701218,0.05387256,1392.83,1404.929,1414.9835,1463.033,-19.31597806,-18.99195795,-0.32402011,,1414.9835,1453.06297107,1376.90402893,29953.6,0.78698387,-0.01207199,-0.00888398,-0.00962312,0.23669466,0.17513973
2025-02-12,600519,1390.4,1415.4,1417.4,1389.28,25476,3644170477.0,2.02,1.8,25.0,0.2,0.00198216,-0.08478982,,27078.55,0.94081847,0.1873351,0,,26.07357143,0.01842134,,-0.11512876,-0.34221803,1400.67,1402.414,1415.1235,1460.8475,-17.25036201,-18.64363876,1.39327676,,1415.1235,1453.1866593,1377.0603407,26897.4,0.94715474,0.02848423,0.04055622,0.01798044,0.19226835,0.1873351
2025-02-13,600519,1415.42,1437.46,1447.65,1406.91,43385,6335985851.0,2.88,1.56,22.06,0.35,0.01594459,-0.0578481,,27484.9,1.57850311,0.19516845,0,,26.07928571,0.01814262,,-0.17594841,-0.62382981,1411.114,1404.82,1416.2515,1459.3765,-13.67564445,-17.6500399,3.97439545,,1416.2515,1455.60212644,1376.90087356,30103.2,1.44120891,0.03769744,0.00921321,0.0155857,0.20508938,0.19516845
2025-02-14,600519,1437.46,1447.4,1449.4,1430.62,27100,3978694098.0,1.31,0.69,9.94,0.22,0.02188647,-0.05214077,,27354.6,0.99069261,0.1963498,0,,26.37642857,0.01822332,,-0.24484947,-0.66520068,1418.914,1408.02,1417.8015,1458.0495,-9.92615753,-16.10526343,6.17910589,,1417.8015,1459.54608189,1376.05691811,28074.8,0.96527847,0.027691,-0.01000644,0.00691498,0.1884441,0.1963498
2025-02-17,600519,1453.4,1444.02,1467.38,1439.5,32471,4804663813.0,1.93,-0.23,-3.38,0.26,0.02529111,-0.05143465,,27884.55,1.16447997,0.19517584,0,,25.865,0.0179118,,-0.28563387,-0.5842123,1426.936,1411.582,1419.5825,1456.7445,-7.14503636,-14.31321801,7.16818165,,1419.5825,1462.6564398,1376.5085602,30401,1.06808987,0.02857021,0.00087921,-0.00233522,0.18603934,0.19517584
2025-02-18,600519,1442.4,1447.4,1465.39,1434.48,27800,4113845397.0,2.14,0.23,3.38,0.22,0.0219009,-0.03988007,,28220.4,0.98510298,0.19455003,0,,26.85857143,0.01855643,,-0.2457457,-0.56513339,1438.336,1415.583,1421.1335,1455.7425,-4.61504073,-12.37358256,7.75854183,,1421.1335,1465.92171662,1376.34528338,31246.4,0.88970249,0.0409954,0.01242519,0.00234069,0.13681729,0.19455003
2025-02-19,600519,1447.45,1463.4,1466.84,1437.3,32393,4803378441.0,2.04,1.11,16.0,0.26,0.01280365,-0.02926661,,28292.2,1.14494454,0.18524703,0,,26.815,0.01832377,,-0.37083001,-0.47314844,1447.936,1424.303,1422.0585,1455.00716667,-1.30390408,-10.15964686,8.85574278,,1422.0585,1469.59335957,1374.52364043,32629.8,0.99274283,0.03391267,-0.00708272,0.0110543,0.11185614,0.18524703
2025-02-20,600519,1455.4,1446.4,1464.37,1445.79,23750,3513552984.0,1.27,-1.16,-17.0,0.19,0.00189101,-0.02954832,,28559.75,0.83158991,0.19031572,0,,25.99928571,0.01797517,,-0.2555188,-0.77977369,1449.724,1430.419,1422.195,1454.27316667,-0.05097475,-8.13791244,8.08693769,,1422.195,1470.00603748,1374.38396252,28702.8,0.82744541,0.0062193,-0.02769337,-0.01161678,0.13925561,0.19031572
